Age,Drugs_Perf
1,1.166666667
2,1.833333333
3,2.833333333
4,4.166666667
5,5.833333333
6,7.833333333
7,10.16666667
8,12.83333333
9,15.83333333
10,19.16666667
11,22.83333333
12,26.83333333
13,31.16666667
14,35.83333333
15,40.83333333
16,46.16666667
17,51.83333333
18,57.83333333
19,64.16666667
20,70.83333333
21,77.83333333
22,85.16666667
23,92.83333333
24,100.8333333
25,109.1666667
26,117.8333333
27,126.8333333
28,136.1666667
29,145.8333333
30,155.8333333
31,166.1666667
32,176.8333333
33,187.8333333
34,199.1666667
35,210.8333333
36,222.8333333
37,235.1666667
38,247.8333333
39,260.8333333
40,274.1666667
41,287.8333333
42,301.8333333
43,316.1666667
44,330.8333333
45,345.8333333
46,361.1666667
47,376.8333333
48,392.8333333
49,409.1666667
50,425.8333333
51,442.8333333
52,460.1666667
53,477.8333333
54,495.8333333
55,514.1666667
56,532.8333333
57,551.8333333
58,571.1666667
59,590.8333333
60,610.8333333
61,631.1666667
62,651.8333333
63,672.8333333
64,694.1666667
65,715.8333333
66,737.8333333
67,760.1666667
68,782.8333333
69,805.8333333
70,829.1666667
71,852.8333333
72,876.8333333
73,901.1666667
74,925.8333333
75,950.8333333
76,976.1666667
77,1001.833333
78,1027.833333
79,1054.166667
80,1080.833333
81,1107.833333
82,1135.166667
83,1162.833333
84,1190.833333
